taxa,FALSE,TRUE,prop
Pararge aegeria,28427,1040,3.52937183968507
Vanellus vanellus,28429,1038,3.52258458614722
Linaria cannabina,28443,1024,3.47507381138222
Alauda arvensis,28447,1020,3.46149930430651
Aglais urticae,28455,1012,3.43435029015509
Vanessa atalanta,28482,985,3.34272236739403
Egretta garzetta,28552,915,3.10516849356908
Apodemus sylvaticus,28573,894,3.03390233142159
Mergus merganser,28574,893,3.03050870465266
Harmonia axyridis,28597,870,2.95245528896732
Mareca strepera,28604,863,2.92869990158482
Lilioceris lilii,28608,859,2.91512539450911
Anthus pratensis,28630,837,2.8404656055927
Celastrina argiolus,28652,815,2.76580581667628
Emberiza citrinella,28660,807,2.73865680252486
Falco peregrinus,28699,768,2.60630535853667
Mareca penelope,28702,765,2.59612447822988
Psittacula krameri,28732,735,2.49431567516205
Polygonia c-album,28805,662,2.24658092103031
Coccinella septempunctata,28828,639,2.16852750534496
Haematopus ostralegus,28834,633,2.14816574473139
Pieris napi,28848,619,2.1006549699664
Larus marinus,28860,607,2.05993144873927
Anthocharis cardamines,28871,596,2.02260155428106
Gallinago gallinago,28871,596,2.02260155428106
Bombus hypnorum,28880,587,1.99205891336071
Corvus corax,28893,574,1.94794176536465
Riparia riparia,28959,508,1.7239623986154
Chrysolina americana,28994,473,1.60518546170292
Maniola jurtina,29002,465,1.5780364475515
Tringa totanus,29016,451,1.53052567278651
Acanthis cabaret,29020,447,1.5169511657108
Lissotriton vulgaris,29020,447,1.5169511657108
Bombus pascuorum,29021,446,1.51355753894187
Acrocephalus scirpaceus,29026,441,1.49658940509723
Curruca curruca,29026,441,1.49658940509723
Tadorna tadorna,29028,439,1.48980215155937
Acrocephalus schoenobaenus,29042,425,1.44229137679438
Fringilla montifringilla,29045,422,1.4321104964876
Rattus norvegicus,29045,422,1.4321104964876
Pyronia tithonus,29049,418,1.41853598941188
Bombycilla garrulus,29050,417,1.41514236264296
Bombus terrestris,29061,406,1.37781246818475
Gonepteryx rhamni,29074,393,1.33369532018869
Sterna hirundo,29084,383,1.29975905249941
Rallus aquaticus,29095,372,1.2624291580412
Cinclus cinclus,29097,370,1.25564190450334
Actitis hypoleucos,29100,367,1.24546102419656
Ischnura elegans,29115,352,1.19455662266264
Sympetrum striolatum,29119,348,1.18098211558693
Alectoris rufa,29123,344,1.16740760851122
Meles meles,29123,344,1.16740760851122
Sylvia borin,29123,344,1.16740760851122
Vanessa cardui,29140,327,1.10971595343944
Bufo bufo,29143,324,1.09953507313266
Bombus lapidarius,29146,321,1.08935419282587
Urtica dioica,29157,310,1.05202429836767
Crataegus monogyna,29164,303,1.02826891098517
Adalia bipunctata,29173,294,0.997726270064818
Ranunculus repens,29178,289,0.980758136220178
Passer montanus,29179,288,0.97736450945125
Aphantopus hyperantus,29181,286,0.970577255913395
Palomena prasina,29189,278,0.943428241761971
Plantago lanceolata,29190,277,0.940034614993043
Fraxinus excelsior,29191,276,0.936640988224115
Galium aparine,29195,272,0.923066481148403
Pyrrhosoma nymphula,29196,271,0.919672854379475
Oenanthe oenanthe,29200,267,0.906098347303763
Falco subbuteo,29202,265,0.899311093765908
Coenagrion puella,29210,257,0.872162079614484
Enallagma cyathigerum,29210,257,0.872162079614484
Milvus milvus,29210,257,0.872162079614484
Aeshna grandis,29213,254,0.8619811993077
Ichthyaetus melanocephalus,29214,253,0.858587572538772
Perdix perdix,29214,253,0.858587572538772
Motacilla flava,29215,252,0.855193945769844
Bellis perennis,29218,249,0.84501306546306
Trifolium repens,29221,246,0.834832185156277
Charadrius hiaticula,29223,244,0.828044931618421
Cirsium arvense,29223,244,0.828044931618421
Geum urbanum,29223,244,0.828044931618421
Sambucus nigra,29223,244,0.828044931618421
Saxicola rubicola,29223,244,0.828044931618421
Calopteryx splendens,29224,243,0.824651304849493
Cettia cetti,29225,242,0.821257678080565
Oryctolagus cuniculus,29225,242,0.821257678080565
Acer pseudoplatanus,29227,240,0.814470424542709
Dactylis glomerata,29227,240,0.814470424542709
Heracleum sphondylium,29228,239,0.811076797773781
Anthriscus sylvestris,29230,237,0.804289544235925
Rumex obtusifolius,29233,234,0.794108663929141
Tringa ochropus,29234,233,0.790715037160213
Aeshna cyanea,29235,232,0.787321410391285
Apis mellifera,29238,229,0.777140530084501
Oxyura jamaicensis,29241,226,0.766959649777717
Tyto alba,29241,226,0.766959649777717
Impatiens glandulifera,29243,224,0.760172396239862
Cirsium vulgare,29245,222,0.753385142702006
Propylea quattuordecimpunctata,29248,219,0.743204262395222
Poecile montanus,29249,218,0.739810635626294
Potamopyrgus antipodarum,29250,217,0.736417008857366
Anas acuta,29251,216,0.733023382088438
Halyzia sedecimguttata,29251,216,0.733023382088438
Fallopia japonica,29253,214,0.726236128550582
Numenius arquata,29253,214,0.726236128550582
Plantago major,29253,214,0.726236128550582
Bombus pratorum,29254,213,0.722842501781654
Alopochen aegyptiaca,29255,212,0.719448875012726
Charadrius dubius,29257,210,0.71266162147487
Philaenus spumarius,29257,210,0.71266162147487
Pluvialis apricaria,29261,206,0.699087114399158
Larus michahellis,29262,205,0.69569348763023
Alliaria petiolata,29263,204,0.692299860861303
Holcus lanatus,29268,199,0.675331727016663
Arenaria interpres,29269,198,0.671938100247735
Achillea millefolium,29271,196,0.665150846709879
Calidris alpina,29272,195,0.661757219940951
Cerastium fontanum,29275,192,0.651576339634167
Aeshna mixta,29278,189,0.641395459327383
Stellaria media,29280,187,0.634608205789527
Bucephala clangula,29281,186,0.631214579020599
Hyacinthoides non-scripta,29281,186,0.631214579020599
Ilex aquifolium,29282,185,0.627820952251671
Epilobium hirsutum,29284,183,0.621033698713815
Trifolium pratense,29284,183,0.621033698713815
Muscicapa striata,29286,181,0.61424644517596
Geranium robertianum,29287,180,0.610852818407032
Coreus marginatus,29289,178,0.604065564869176
Cuculus canorus,29289,178,0.604065564869176
Cornu aspersum,29291,176,0.59727831133132
Chamerion angustifolium,29292,175,0.593884684562392
Hedera helix,29293,174,0.590491057793464
Limosa limosa,29293,174,0.590491057793464
Poa annua,29293,174,0.590491057793464
Arrhenatherum elatius,29294,173,0.587097431024536
Senecio vulgaris,29294,173,0.587097431024536
Cydalima perspectalis,29295,172,0.583703804255608
Lamium album,29295,172,0.583703804255608
Prunus spinosa,29295,172,0.583703804255608
Lolium perenne,29296,171,0.58031017748668
Emberiza calandra,29297,170,0.576916550717752
Falco columbarius,29297,170,0.576916550717752
Arvicola amphibius,29301,166,0.56334204364204
Pipistrellus pipistrellus,29301,166,0.56334204364204
Ranunculus acris,29302,165,0.559948416873112
Adalia decempunctata,29303,164,0.556554790104184
Poecile palustris,29308,159,0.539586656259545
Anthus petrosus,29310,157,0.532799402721689
Polyommatus icarus,29310,157,0.532799402721689
Quercus robur,29311,156,0.529405775952761
Capsella bursa-pastoris,29312,155,0.526012149183833
Betula pendula,29313,154,0.522618522414905
Lutra lutra,29314,153,0.519224895645977
Lycaena phlaeas,29314,153,0.519224895645977
Anax imperator,29315,152,0.515831268877049
Prunella vulgaris,29315,152,0.515831268877049
Filipendula ulmaria,29316,151,0.512437642108121
Bombylius major,29317,150,0.509044015339193
Corylus avellana,29319,148,0.502256761801337
Stachys sylvatica,29319,148,0.502256761801337
Lotus corniculatus,29324,143,0.485288627956697
Mergus serrator,29324,143,0.485288627956697
Epiphyas postvittana,29325,142,0.481895001187769
Leucanthemum vulgare,29325,142,0.481895001187769
Sorbus aucuparia,29325,142,0.481895001187769
Acer campestre,29327,140,0.475107747649914
Matricaria discoidea,29327,140,0.475107747649914
Dryobates minor,29328,139,0.471714120880986
Libellula depressa,29328,139,0.471714120880986
Medicago lupulina,29328,139,0.471714120880986
Acanthosoma haemorrhoidale,29329,138,0.468320494112058
Sonchus oleraceus,29329,138,0.468320494112058
Artemisia vulgaris,29331,136,0.461533240574202
Calvia quattuordecimguttata,29331,136,0.461533240574202
Lathyrus pratensis,29332,135,0.458139613805274
Anthophora plumipes,29333,134,0.454745987036346
Exochomus quadripustulatus,29333,134,0.454745987036346
Lapsana communis,29333,134,0.454745987036346
Sonchus asper,29333,134,0.454745987036346
Ficaria verna,29334,133,0.451352360267418
Geranium dissectum,29334,133,0.451352360267418
Silene dioica,29334,133,0.451352360267418
Capreolus capreolus,29335,132,0.44795873349849
Muntiacus reevesi,29336,131,0.444565106729562
Rumex acetosa,29338,129,0.437777853191706
Epilobium montanum,29339,128,0.434384226422778
Equisetum arvense,29339,128,0.434384226422778
Prunus avium,29340,127,0.43099059965385
Rhagonycha fulva,29340,127,0.43099059965385
Ochlodes sylvanus,29342,125,0.424203346115994
Aesculus hippocastanum,29343,124,0.420809719347066
Dolycoris baccarum,29344,123,0.417416092578138
Hypochaeris radicata,29344,123,0.417416092578138
Locustella naevia,29344,123,0.417416092578138
Aegopodium podagraria,29345,122,0.41402246580921
Botaurus stellaris,29345,122,0.41402246580921
Jacobaea vulgaris,29345,122,0.41402246580921
Salix caprea,29345,122,0.41402246580921
Tussilago farfara,29347,120,0.407235212271354
Pentatoma rufipes,29348,119,0.403841585502426
Sisymbrium officinale,29348,119,0.403841585502426
Glechoma hederacea,29349,118,0.400447958733499
Scolopax rusticola,29349,118,0.400447958733499
Veronica persica,29349,118,0.400447958733499
Veronica chamaedrys,29350,117,0.397054331964571
Vicia sativa,29350,117,0.397054331964571
Solanum dulcamara,29352,115,0.390267078426715
Trifolium dubium,29352,115,0.390267078426715
Lamium purpureum,29353,114,0.386873451657787
Rumex crispus,29353,114,0.386873451657787
Alnus glutinosa,29354,113,0.383479824888859
Anser brachyrhynchus,29355,112,0.380086198119931
Arum maculatum,29355,112,0.380086198119931
Vespula vulgaris,29355,112,0.380086198119931
Cepaea nemoralis,29358,109,0.369905317813147
Buddleja davidii,29359,108,0.366511691044219
Iris pseudacorus,29359,108,0.366511691044219
Agrostis capillaris,29360,107,0.363118064275291
Lucanus cervus,29360,107,0.363118064275291
Thymelicus sylvestris,29361,106,0.359724437506363
Coenonympha pamphilus,29362,105,0.356330810737435
Dryopteris filix-mas,29362,105,0.356330810737435
Fagus sylvatica,29362,105,0.356330810737435
Agrostis stolonifera,29363,104,0.352937183968507
Noctua pronuba,29363,104,0.352937183968507
Triturus cristatus,29363,104,0.352937183968507
Cardamine pratensis,29364,103,0.349543557199579
Natrix helvetica,29364,103,0.349543557199579
Alopecurus pratensis,29365,102,0.346149930430651
Calidris pugnax,29365,102,0.346149930430651
Lymnocryptes minimus,29365,102,0.346149930430651
Acer platanoides,29366,101,0.342756303661723
Pentaglottis sempervirens,29366,101,0.342756303661723
Potentilla reptans,29366,101,0.342756303661723
Tringa nebularia,29366,101,0.342756303661723
Cardamine hirsuta,29367,100,0.339362676892795
Dipsacus fullonum,29367,100,0.339362676892795
Phalaris arundinacea,29367,100,0.339362676892795
Myosotis arvensis,29369,98,0.332575423354939
Poa trivialis,29369,98,0.332575423354939
Taxus baccata,29369,98,0.332575423354939
Athene noctua,29370,97,0.329181796586012
Limacus maculatus,29370,97,0.329181796586012
Vicia cracca,29370,97,0.329181796586012
Brachythecium rutabulum,29371,96,0.325788169817084
Juncus effusus,29371,96,0.325788169817084
Bromus sterilis,29372,95,0.322394543048156
Chorthippus brunneus,29372,95,0.322394543048156
Cardamine flexuosa,29373,94,0.319000916279228
Festuca rubra,29373,94,0.319000916279228
Gulosus aristotelis,29374,93,0.3156072895103
Angelica sylvestris,29375,92,0.312213662741372
Cairina moschata,29375,92,0.312213662741372
Cerastium glomeratum,29375,92,0.312213662741372
Geranium pratense,29375,92,0.312213662741372
Rosa canina,29375,92,0.312213662741372
Cornus sanguinea,29377,90,0.305426409203516
Cynosurus cristatus,29377,90,0.305426409203516
Forficula auricularia,29377,90,0.305426409203516
Myotis daubentonii,29377,90,0.305426409203516
Pipistrellus pygmaeus,29377,90,0.305426409203516
Psyllobora vigintiduopunctata,29377,90,0.305426409203516
Episyrphus balteatus,29378,89,0.302032782434588
Malva sylvestris,29378,89,0.302032782434588
Xanthorhoe fluctuata,29378,89,0.302032782434588
Erythromma najas,29379,88,0.29863915566566
Calystegia sepium,29381,86,0.291851902127804
Rubus idaeus,29381,86,0.291851902127804
Rumex sanguineus,29381,86,0.291851902127804
Ulmus glabra,29381,86,0.291851902127804
Vicia sepium,29381,86,0.291851902127804
Andrena fulva,29382,85,0.288458275358876
Geranium molle,29382,85,0.288458275358876
Osmia bicornis,29382,85,0.288458275358876
Podiceps nigricollis,29382,85,0.288458275358876
Spatula querquedula,29382,85,0.288458275358876
Tyria jacobaeae,29382,85,0.288458275358876
Veronica hederifolia,29382,85,0.288458275358876
Bryonia dioica,29383,84,0.285064648589948
Araneus diadematus,29384,83,0.28167102182102
Cytisus scoparius,29384,83,0.28167102182102
Hordeum murinum,29384,83,0.28167102182102
Elytrigia repens,29385,82,0.278277395052092
Heracleum mantegazzianum,29385,82,0.278277395052092
Polygonum aviculare,29385,82,0.278277395052092
Sagina procumbens,29385,82,0.278277395052092
Symphoricarpos albus,29385,82,0.278277395052092
Bryum capillare,29386,81,0.274883768283164
Carex pendula,29386,81,0.274883768283164
Kindbergia praelonga,29386,81,0.274883768283164
Autographa gamma,29387,80,0.271490141514236
Bombus hortorum,29387,80,0.271490141514236
Vespa crabro,29387,80,0.271490141514236
Viburnum opulus,29387,80,0.271490141514236
Primula veris,29388,79,0.268096514745308
Talpa europaea,29388,79,0.268096514745308
Typha latifolia,29388,79,0.268096514745308
Deschampsia cespitosa,29389,78,0.26470288797638
Euphorbia peplus,29389,78,0.26470288797638
Phyllitis scolopendrium,29389,78,0.26470288797638
Arabidopsis thaliana,29390,77,0.261309261207452
Circus aeruginosus,29390,77,0.261309261207452
Hyacinthoides hispanica,29390,77,0.261309261207452
Potentilla anserina,29390,77,0.261309261207452
Pacifastacus leniusculus,29391,76,0.257915634438524
Phoenicurus ochruros,29391,76,0.257915634438524
Pisaura mirabilis,29391,76,0.257915634438524
Anthoxanthum odoratum,29392,75,0.254522007669596
Ligustrum ovalifolium,29392,75,0.254522007669596
Oniscus asellus,29392,75,0.254522007669596
Trametes versicolor,29392,75,0.254522007669596
Arge berberidis,29393,74,0.251128380900669
Epilobium ciliatum,29393,74,0.251128380900669
Galium verum,29393,74,0.251128380900669
Deroceras reticulatum,29394,73,0.247734754131741
Elasmostethus interstinctus,29394,73,0.247734754131741
Phoenicurus phoenicurus,29394,73,0.247734754131741
Digitalis purpurea,29395,72,0.244341127362813
Phleum pratense,29395,72,0.244341127362813
Salix cinerea,29395,72,0.244341127362813
Veronica arvensis,29395,72,0.244341127362813
Colletes hederae,29396,71,0.240947500593885
Pandion haliaetus,29396,71,0.240947500593885
Peribatodes rhomboidaria,29396,71,0.240947500593885
Tanacetum parthenium,29396,71,0.240947500593885
Chloromyia formosa,29397,70,0.237553873824957
Noctua comes,29397,70,0.237553873824957
Aix galericulata,29398,69,0.234160247056029
Hypericum perforatum,29398,69,0.234160247056029
Prunus laurocerasus,29398,69,0.234160247056029
Viola riviniana,29398,69,0.234160247056029
Amblystegium serpens,29399,68,0.230766620287101
Arion distinctus,29399,68,0.230766620287101
Bombus vestalis,29400,67,0.227372993518173
Chrysoteuchia culmella,29400,67,0.227372993518173
Cottus gobio,29400,67,0.227372993518173
Dorcus parallelipipedus,29400,67,0.227372993518173
Emmelina monodactyla,29400,67,0.227372993518173
Ranunculus bulbosus,29400,67,0.227372993518173
Xylaria hypoxylon,29400,67,0.227372993518173
Crepis capillaris,29401,66,0.223979366749245
Glyceria maxima,29401,66,0.223979366749245
Grimmia pulvinata,29401,66,0.223979366749245
Spilosoma lutea,29401,66,0.223979366749245
Tanacetum vulgare,29401,66,0.223979366749245
Calystegia silvatica,29402,65,0.220585739980317
Dysstroma truncata,29402,65,0.220585739980317
Pinus sylvestris,29402,65,0.220585739980317
Senecio squalidus,29402,65,0.220585739980317
Tortula muralis,29402,65,0.220585739980317
Veronica serpyllifolia,29402,65,0.220585739980317
Agrotis exclamationis,29403,64,0.217192113211389
Hypnum cupressiforme,29403,64,0.217192113211389
Saxicola rubetra,29403,64,0.217192113211389
Scorzoneroides autumnalis,29403,64,0.217192113211389
Stereum hirsutum,29403,64,0.217192113211389
Arthurdendyus triangulatus,29404,63,0.213798486442461
Aythya marila,29404,63,0.213798486442461
Convolvulus arvensis,29404,63,0.213798486442461
Libellula quadrimaculata,29404,63,0.213798486442461
Myosotis sylvatica,29404,63,0.213798486442461
Persicaria maculosa,29404,63,0.213798486442461
Bryum argenteum,29405,62,0.210404859673533
Helophilus pendulus,29405,62,0.210404859673533
Lewinskya affinis,29405,62,0.210404859673533
Lycopus europaeus,29405,62,0.210404859673533
Lythrum salicaria,29405,62,0.210404859673533
Orthetrum cancellatum,29405,62,0.210404859673533
Rhinanthus minor,29405,62,0.210404859673533
Streptopelia turtur,29405,62,0.210404859673533
Idaea aversata,29406,61,0.207011232904605
Odontites vernus,29406,61,0.207011232904605
Opisthograptis luteolata,29406,61,0.207011232904605
Reseda luteola,29406,61,0.207011232904605
Tenuiphantes tenuis,29406,61,0.207011232904605
Veronica beccabunga,29406,61,0.207011232904605
Andrena cineraria,29407,60,0.203617606135677
Arion subfuscus,29407,60,0.203617606135677
Juncus inflexus,29407,60,0.203617606135677
Lonicera periclymenum,29407,60,0.203617606135677
Nyctalus noctula,29407,60,0.203617606135677
Stellaria graminea,29407,60,0.203617606135677
Daldinia concentrica,29408,59,0.200223979366749
Laccaria laccata,29408,59,0.200223979366749
Leptoglossus occidentalis,29408,59,0.200223979366749
Thalasseus sandvicensis,29408,59,0.200223979366749
Trochulus striolatus,29408,59,0.200223979366749
Aphomia sociella,29409,58,0.196830352597821
Asio flammeus,29409,58,0.196830352597821
Bromus hordeaceus,29409,58,0.196830352597821
Cepaea hortensis,29409,58,0.196830352597821
Dryopteris dilatata,29409,58,0.196830352597821
Endrosis sarcitrella,29409,58,0.196830352597821
Omocestus viridulus,29409,58,0.196830352597821
Paidiscura pallens,29409,58,0.196830352597821
Sympetrum sanguineum,29409,58,0.196830352597821
Andrena haemorrhoa,29410,57,0.193436725828893
Asplenium ruta-muraria,29410,57,0.193436725828893
Bombus lucorum,29410,57,0.193436725828893
Chenopodium album,29410,57,0.193436725828893
Deroceras invadens,29410,57,0.193436725828893
Discus rotundatus,29410,57,0.193436725828893
Fragaria vesca,29410,57,0.193436725828893
Hypholoma fasciculare,29410,57,0.193436725828893
Linaria purpurea,29410,57,0.193436725828893
Roeseliana roeselii,29410,57,0.193436725828893
Sterna paradisaea,29410,57,0.193436725828893
Tytthaspis sedecimpunctata,29410,57,0.193436725828893
Auricularia auricula-judae,29411,56,0.190043099059965
Ochropleura plecta,29411,56,0.190043099059965
Orthotrichum diaphanum,29411,56,0.190043099059965
Tragopogon pratensis,29411,56,0.190043099059965
Anguis fragilis,29412,55,0.186649472291037
Diplostyla concolor,29412,55,0.186649472291037
Lemna minor,29412,55,0.186649472291037
Mercurialis perennis,29412,55,0.186649472291037
Netta rufina,29412,55,0.186649472291037
Bryophila domestica,29413,54,0.183255845522109
Papaver rhoeas,29413,54,0.183255845522109
Rhytidiadelphus squarrosus,29413,54,0.183255845522109
Somateria mollissima,29413,54,0.183255845522109
Ulex europaeus,29413,54,0.183255845522109
Xanthoria parietina,29413,54,0.183255845522109
Calidris alba,29414,53,0.179862218753182
Chlidonias niger,29414,53,0.179862218753182
Primula vulgaris,29414,53,0.179862218753182
Uria aalge,29414,53,0.179862218753182
Agrotis puta,29415,52,0.176468591984254
Arctium minus,29415,52,0.176468591984254
Hofmannophila pseudospretella,29415,52,0.176468591984254
Lasius niger,29415,52,0.176468591984254
Leptophyes punctatissima,29415,52,0.176468591984254
Macroglossum stellatarum,29415,52,0.176468591984254
Salix viminalis,29415,52,0.176468591984254
Apamea monoglypha,29416,51,0.173074965215326
Cygnus cygnus,29416,51,0.173074965215326
Picris echioides,29416,51,0.173074965215326
Viola odorata,29416,51,0.173074965215326
Anania hortulata,29417,50,0.169681338446398
Celypha lacunana,29417,50,0.169681338446398
Coprinellus micaceus,29417,50,0.169681338446398
Dictyna uncinata,29417,50,0.169681338446398
Eriothrix rufomaculata,29417,50,0.169681338446398
Limnephilus lunatus,29417,50,0.169681338446398
Scrophularia auriculata,29417,50,0.169681338446398
Stachys palustris,29417,50,0.169681338446398
Brachypodium sylvaticum,29418,49,0.16628771167747
Dactylorhiza fuchsii,29418,49,0.16628771167747
Hydrocoloeus minutus,29418,49,0.16628771167747
Liocoris tripustulatus,29418,49,0.16628771167747
Loxia curvirostra,29418,49,0.16628771167747
Lunularia cruciata,29418,49,0.16628771167747
Timandra comae,29418,49,0.16628771167747
Ballota nigra,29419,48,0.162894084908542
Barbula unguiculata,29419,48,0.162894084908542
Lactuca serriola,29419,48,0.162894084908542
Lunaria annua,29419,48,0.162894084908542
Luzula campestris,29419,48,0.162894084908542
Myathropa florea,29419,48,0.162894084908542
Myosotis scorpioides,29419,48,0.162894084908542
Tripleurospermum inodorum,29419,48,0.162894084908542
Bryum dichotomum,29420,47,0.159500458139614
Camptogramma bilineata,29420,47,0.159500458139614
Conium maculatum,29420,47,0.159500458139614
Daucus carota,29420,47,0.159500458139614
Lacanobia oleracea,29420,47,0.159500458139614
Ligustrum vulgare,29420,47,0.159500458139614
Melanitta nigra,29420,47,0.159500458139614
Plecotus auritus,29420,47,0.159500458139614
Regulus ignicapilla,29420,47,0.159500458139614
Sericostoma personatum,29420,47,0.159500458139614
Calopteryx virgo,29421,46,0.156106831370686
Caltha palustris,29421,46,0.156106831370686
Conyza canadensis,29421,46,0.156106831370686
Lepus europaeus,29421,46,0.156106831370686
Marchantia polymorpha,29421,46,0.156106831370686
Sanguisorba officinalis,29421,46,0.156106831370686
Sinapis arvensis,29421,46,0.156106831370686
Valeriana officinalis,29421,46,0.156106831370686
Armoracia rusticana,29422,45,0.152713204601758
Branta bernicla,29422,45,0.152713204601758
Calliergonella cuspidata,29422,45,0.152713204601758
Cochlearia danica,29422,45,0.152713204601758
Didymodon insulanus,29422,45,0.152713204601758
Lycoperdon pyriforme,29422,45,0.152713204601758
Phragmites australis,29422,45,0.152713204601758
Succisa pratensis,29422,45,0.152713204601758
Turdus torquatus,29422,45,0.152713204601758
Branta leucopsis,29423,44,0.14931957783283
Circaea lutetiana,29423,44,0.14931957783283
Gymnoscelis rufifasciata,29423,44,0.14931957783283
Patania ruralis,29423,44,0.14931957783283
Persicaria amphibia,29423,44,0.14931957783283
Pterostichus madidus,29423,44,0.14931957783283
Silene latifolia,29423,44,0.14931957783283
Sparganium erectum,29423,44,0.14931957783283
Tachina fera,29423,44,0.14931957783283
Veronica filiformis,29423,44,0.14931957783283
Xestia c-nigrum,29423,44,0.14931957783283
Corvus cornix,29424,43,0.145925951063902
Daedaleopsis confragosa,29424,43,0.145925951063902
Galanthus nivalis,29424,43,0.145925951063902
Mentha aquatica,29424,43,0.145925951063902
Nectria cinnabarina,29424,43,0.145925951063902
Oxyrrhynchium hians,29424,43,0.145925951063902
Subcoccinella vigintiquattuorpunctata,29424,43,0.145925951063902
Trifolium campestre,29424,43,0.145925951063902
Xestia xanthographa,29424,43,0.145925951063902
Agriphila straminella,29425,42,0.142532324294974
Anatis ocellata,29425,42,0.142532324294974
Ceratodon purpureus,29425,42,0.142532324294974
Geranium pyrenaicum,29425,42,0.142532324294974
Hoplodrina blanda,29425,42,0.142532324294974
Solidago canadensis,29425,42,0.142532324294974
Syringa vulgaris,29425,42,0.142532324294974
Amphipyra tragopoginis,29426,41,0.139138697526046
Anthocoris nemorum,29426,41,0.139138697526046
Euphorbia helioscopia,29426,41,0.139138697526046
Gavia stellata,29426,41,0.139138697526046
Lamiastrum galeobdolon,29426,41,0.139138697526046
Lathys humilis,29426,41,0.139138697526046
Oxychilus cellarius,29426,41,0.139138697526046
Papaver somniferum,29426,41,0.139138697526046
Philoscia muscorum,29426,41,0.139138697526046
Rhopalus subrufus,29426,41,0.139138697526046
Tandonia budapestensis,29426,41,0.139138697526046
Vicia hirsuta,29426,41,0.139138697526046
Abrostola tripartita,29427,40,0.135745070757118
Alopecurus geniculatus,29427,40,0.135745070757118
Betula pubescens,29427,40,0.135745070757118
Carex hirta,29427,40,0.135745070757118
Colostygia pectinataria,29427,40,0.135745070757118
Elodea nuttallii,29427,40,0.135745070757118
Juncus articulatus,29427,40,0.135745070757118
Porcellio scaber,29427,40,0.135745070757118
Prunus padus,29427,40,0.135745070757118
